127.0.0.1 - - [19/Jan/2021:12:51:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:27 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:27 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:27 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:30 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:30 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:30 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:30 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:31 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:31 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:31 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:37 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:37 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:37 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
